"Version","Task","Concept","Att 1 - Conservation measure","Att 2 - Global coral coverage remaining in 50 years","Att 3 - Reef fish species at risk of extinction in 50 years","Att 4 - Contribution per year"
11,3,1,4,1,6,8
11,3,2,3,4,5,2
11,3,3,1,4,7,1
11,4,1,3,4,4,2
11,4,2,2,1,6,7
11,4,3,1,4,7,1
11,5,1,2,5,4,3
11,5,2,3,6,1,7
11,5,3,1,7,4,1
11,6,1,2,5,3,5
11,6,2,4,5,2,4
11,6,3,1,7,4,1
12,1,1,3,3,1,8
12,1,2,2,2,4,2
12,1,3,1,4,4,1
12,2,1,2,2,5,7
12,2,2,3,3,6,3
12,2,3,1,4,7,1
12,3,1,3,3,5,5
12,3,2,4,1,6,5
12,3,3,1,4,7,1
12,4,1,4,1,4,8
12,4,2,3,4,2,2
12,4,3,1,4,4,1
12,5,1,4,4,2,2
12,5,2,2,1,3,8
12,5,3,1,4,4,1
12,6,1,2,6,3,3
12,6,2,4,5,2,7
12,6,3,1,7,4,1
13,1,1,4,4,4,3
13,1,2,3,1,7,6
13,1,3,1,4,7,1
13,2,1,4,1,3,7
13,2,2,2,4,1,2
13,2,3,1,4,4,1
13,3,1,3,1,3,5
13,3,2,4,3,2,4
13,3,3,1,4,4,1
13,4,1,4,7,4,6
13,4,2,3,4,7,4
13,4,3,1,7,7,1
13,5,1,2,3,5,4
13,5,2,4,2,7,6
13,5,3,1,4,7,1
13,6,1,3,4,5,3
13,6,2,2,2,5,7
13,6,3,1,4,7,1
14,1,1,2,6,5,4
14,1,2,3,5,7,6
14,1,3,1,7,7,1
14,2,1,4,5,6,7
14,2,2,2,6,5,3
14,2,3,1,7,7,1
14,3,1,2,2,3,5
14,3,2,3,3,1,5
14,3,3,1,4,4,1
14,4,1,2,6,4,7
14,4,2,4,5,7,3
14,4,3,1,7,7,1
14,5,1,4,6,3,5
14,5,2,3,5,3,4
14,5,3,1,7,4,1
14,6,1,4,7,1,6
14,6,2,2,4,4,4
14,6,3,1,7,4,1
15,1,1,3,4,4,3
15,1,2,2,1,7,6
15,1,3,1,4,7,1
15,2,1,4,5,7,3
15,2,2,3,6,4,7
15,2,3,1,7,7,1
15,3,1,4,3,2,4
15,3,2,3,3,3,5
15,3,3,1,4,4,1
15,4,1,3,2,2,4
15,4,2,2,2,3,5
15,4,3,1,4,4,1
15,5,1,3,4,6,8
15,5,2,2,7,5,2
15,5,3,1,7,7,1
15,6,1,3,4,1,8
15,6,2,4,2,4,2
15,6,3,1,4,4,1
16,1,1,4,4,4,4
16,1,2,3,7,1,6
16,1,3,1,7,4,1
16,2,1,2,4,2,2
16,2,2,3,1,4,8
16,2,3,1,4,4,1
16,3,1,2,4,7,6
16,3,2,4,7,4,4
16,3,3,1,7,7,1
16,4,1,3,4,7,3
16,4,2,2,6,4,7
16,4,3,1,7,7,1
16,5,1,3,2,4,2
16,5,2,2,4,1,8
16,5,3,1,4,4,1
16,6,1,2,3,3,3
16,6,2,4,3,3,7
16,6,3,1,4,4,1
17,1,1,3,2,4,6
17,1,2,2,3,2,4
17,1,3,1,4,4,1
17,2,1,2,5,4,2
17,2,2,4,7,1,8
17,2,3,1,7,4,1
17,3,1,3,5,4,2
17,3,2,4,6,1,8
17,3,3,1,7,4,1
17,4,1,3,3,4,8
17,4,2,4,2,7,2
17,4,3,1,4,7,1
17,5,1,3,2,6,5
17,5,2,4,2,5,5
17,5,3,1,4,7,1
17,6,1,3,3,5,8
17,6,2,4,3,6,2
17,6,3,1,4,7,1
18,1,1,2,7,1,6
18,1,2,4,4,4,4
18,1,3,1,7,4,1
18,2,1,2,3,2,4
18,2,2,3,1,3,6
18,2,3,1,4,4,1
18,3,1,2,4,7,7
18,3,2,3,7,5,3
18,3,3,1,7,7,1
18,4,1,3,3,5,7
18,4,2,2,2,6,3
18,4,3,1,4,7,1
18,5,1,2,1,3,7
18,5,2,4,4,1,3
18,5,3,1,4,4,1
18,6,1,2,3,4,5
18,6,2,4,2,6,5
18,6,3,1,4,7,1
19,1,1,3,7,2,2
19,1,2,2,4,3,8
19,1,3,1,7,4,1
19,2,1,4,6,4,7
19,2,2,3,4,7,3
19,2,3,1,7,7,1
19,3,1,4,1,4,6
19,3,2,3,4,1,3
19,3,3,1,4,4,1
19,4,1,2,4,1,8
19,4,2,4,2,4,2
19,4,3,1,4,4,1
19,5,1,4,2,2,4
19,5,2,3,3,2,5
19,5,3,1,4,4,1
19,6,1,4,5,6,4
19,6,2,2,7,5,6
19,6,3,1,7,7,1
20,1,1,4,7,4,2
20,1,2,2,4,6,7
20,1,3,1,7,7,1
20,2,1,4,7,4,6
20,2,2,3,4,7,3
20,2,3,1,7,7,1
20,3,1,4,1,4,4
20,3,2,2,4,1,6
20,3,3,1,4,4,1
20,4,1,3,1,7,6
20,4,2,2,4,4,4
20,4,3,1,4,7,1
20,5,1,3,1,6,5
20,5,2,4,3,5,5
20,5,3,1,4,7,1
20,6,1,2,4,2,2
20,6,2,3,1,3,8
20,6,3,1,4,4,1
21,1,1,2,2,4,3
21,1,2,4,4,1,8
21,1,3,1,4,4,1
21,2,1,4,4,6,5
21,2,2,2,6,5,5
21,2,3,1,7,7,1
21,3,1,4,4,6,8
21,3,2,3,7,5,2
21,3,3,1,7,7,1
21,4,1,3,7,1,2
21,4,2,2,4,3,7
21,4,3,1,7,4,1
21,5,1,2,5,4,3
21,5,2,3,6,1,7
21,5,3,1,7,4,1
21,6,1,2,2,6,5
21,6,2,4,2,5,4
21,6,3,1,4,7,1
22,1,1,3,6,4,8
22,1,2,2,5,7,2
22,1,3,1,7,7,1
22,2,1,2,2,2,7
22,2,2,3,3,3,3
22,2,3,1,4,4,1
22,3,1,3,6,2,5
22,3,2,4,4,3,5
22,3,3,1,7,4,1
22,4,1,4,4,7,8
22,4,2,3,7,5,2
22,4,3,1,7,7,1
22,5,1,4,4,5,2
22,5,2,2,1,6,8
22,5,3,1,4,7,1
22,6,1,2,3,3,3
22,6,2,4,2,2,7
22,6,3,1,4,4,1
23,1,1,4,7,1,3
23,1,2,3,4,4,6
23,1,3,1,7,4,1
23,2,1,4,4,6,7
23,2,2,2,7,4,2
23,2,3,1,7,7,1
23,3,1,3,4,3,5
23,3,2,4,6,2,4
23,3,3,1,7,4,1
23,4,1,4,7,4,6
23,4,2,3,4,7,4
23,4,3,1,7,7,1
23,5,1,2,6,2,4
23,5,2,4,5,4,6
23,5,3,1,7,4,1
23,6,1,3,4,2,3
23,6,2,2,2,2,7
23,6,3,1,4,4,1
24,1,1,2,6,2,4
24,1,2,3,5,4,6
24,1,3,1,7,4,1
24,2,1,4,5,3,7
24,2,2,2,6,2,3
24,2,3,1,7,4,1
24,3,1,2,5,3,5
24,3,2,3,6,1,5
24,3,3,1,7,4,1
24,4,1,2,6,1,7
24,4,2,4,5,4,3
24,4,3,1,7,4,1
24,5,1,4,3,6,5
24,5,2,3,2,6,4
24,5,3,1,4,7,1
24,6,1,4,4,1,6
24,6,2,2,1,4,4
24,6,3,1,4,4,1
25,1,1,3,7,4,3
25,1,2,2,4,7,6
25,1,3,1,7,7,1
25,2,1,4,2,4,3
25,2,2,3,3,1,7
25,2,3,1,4,4,1
25,3,1,4,6,2,4
25,3,2,3,6,3,5
25,3,3,1,7,4,1
25,4,1,3,2,2,4
25,4,2,2,2,3,5
25,4,3,1,4,4,1
25,5,1,3,1,6,8
25,5,2,2,4,5,2
25,5,3,1,4,7,1
25,6,1,3,4,1,8
25,6,2,4,2,4,2
25,6,3,1,4,4,1
26,1,1,4,1,7,4
26,1,2,3,4,4,6
26,1,3,1,4,7,1
26,2,1,2,7,2,2
26,2,2,3,4,4,8
26,2,3,1,7,4,1
26,3,1,2,4,4,6
26,3,2,4,7,1,4
26,3,3,1,7,4,1
26,4,1,3,4,4,3
26,4,2,2,6,1,7
26,4,3,1,7,4,1
26,5,1,3,2,7,2
26,5,2,2,4,4,8
26,5,3,1,4,7,1
26,6,1,2,3,6,3
26,6,2,4,3,6,7
26,6,3,1,4,7,1
27,1,1,3,2,4,6
27,1,2,2,3,2,4
27,1,3,1,4,4,1
27,2,1,2,2,7,2
27,2,2,4,4,4,8
27,2,3,1,4,7,1
27,3,1,3,2,7,2
27,3,2,4,3,4,8
27,3,3,1,4,7,1
27,4,1,3,6,1,8
27,4,2,4,5,4,2
27,4,3,1,7,4,1
27,5,1,3,2,3,5
27,5,2,4,2,2,5
27,5,3,1,4,4,1
27,6,1,3,6,5,8
27,6,2,4,6,6,2
27,6,3,1,7,7,1
28,1,1,2,4,4,6
28,1,2,4,1,7,4
28,1,3,1,4,7,1
28,2,1,2,6,2,4
28,2,2,3,4,3,6
28,2,3,1,7,4,1
28,3,1,2,4,4,7
28,3,2,3,7,2,3
28,3,3,1,7,4,1
28,4,1,3,3,5,7
28,4,2,2,2,6,3
28,4,3,1,4,7,1
28,5,1,2,4,3,7
28,5,2,4,7,1,3
28,5,3,1,7,4,1
28,6,1,2,3,4,5
28,6,2,4,2,6,5
28,6,3,1,4,7,1
29,1,1,3,7,2,2
29,1,2,2,4,3,8
29,1,3,1,7,4,1
29,2,1,4,3,1,7
29,2,2,3,1,4,3
29,2,3,1,4,4,1
29,3,1,4,4,7,6
29,3,2,3,7,4,3
29,3,3,1,7,7,1
29,4,1,2,4,1,8
29,4,2,4,2,4,2
29,4,3,1,4,4,1
29,5,1,4,2,2,4
29,5,2,3,3,2,5
29,5,3,1,4,4,1
29,6,1,4,2,3,4
29,6,2,2,4,2,6
29,6,3,1,4,4,1
30,1,1,4,4,1,2
30,1,2,2,1,3,7
30,1,3,1,4,4,1
30,2,1,4,7,1,6
30,2,2,3,4,4,3
30,2,3,1,7,4,1
30,3,1,4,1,4,4
30,3,2,2,4,1,6
30,3,3,1,4,4,1
30,4,1,3,1,4,6
30,4,2,2,4,1,4
30,4,3,1,4,4,1
30,5,1,3,1,3,5
30,5,2,4,3,2,5
30,5,3,1,4,4,1
30,6,1,2,4,2,2
30,6,2,3,1,3,8
30,6,3,1,4,4,1
31,1,1,2,2,4,3
31,1,2,4,4,1,8
31,1,3,1,4,4,1
31,2,1,4,1,3,5
31,2,2,2,3,2,5
31,2,3,1,4,4,1
31,3,1,4,1,3,8
31,3,2,3,4,2,2
31,3,3,1,4,4,1
31,4,1,3,7,1,2
31,4,2,2,4,3,7
31,4,3,1,7,4,1
31,5,1,2,5,4,3
31,5,2,3,6,1,7
31,5,3,1,7,4,1
31,6,1,2,5,3,5
31,6,2,4,5,2,4
31,6,3,1,7,4,1
32,1,1,3,6,4,8
32,1,2,2,5,7,2
32,1,3,1,7,7,1
32,2,1,2,2,5,7
32,2,2,3,3,6,3
32,2,3,1,4,7,1
32,3,1,3,3,5,5
32,3,2,4,1,6,5
32,3,3,1,4,7,1
32,4,1,4,1,4,8
32,4,2,3,4,2,2
32,4,3,1,4,4,1
32,5,1,4,7,2,2
32,5,2,2,4,3,8
32,5,3,1,7,4,1
32,6,1,2,3,6,3
32,6,2,4,2,5,7
32,6,3,1,4,7,1
33,1,1,4,7,4,3
33,1,2,3,4,7,6
33,1,3,1,7,7,1
33,2,1,4,1,3,7
33,2,2,2,4,1,2
33,2,3,1,4,4,1
33,3,1,3,1,3,5
33,3,2,4,3,2,4
33,3,3,1,4,4,1
33,4,1,4,7,1,6
33,4,2,3,4,4,4
33,4,3,1,7,4,1
33,5,1,2,3,2,4
33,5,2,4,2,4,6
33,5,3,1,4,4,1
33,6,1,3,4,5,3
33,6,2,2,2,5,7
33,6,3,1,4,7,1
34,1,1,2,6,2,4
34,1,2,3,5,4,6
34,1,3,1,7,4,1
34,2,1,4,2,6,7
34,2,2,2,3,5,3
34,2,3,1,4,7,1
34,3,1,2,5,6,5
34,3,2,3,6,4,5
34,3,3,1,7,7,1
34,4,1,2,3,4,7
34,4,2,4,2,7,3
34,4,3,1,4,7,1
34,5,1,4,6,3,5
34,5,2,3,5,3,4
34,5,3,1,7,4,1
34,6,1,4,7,1,6
34,6,2,2,4,4,4
34,6,3,1,7,4,1
35,1,1,3,4,1,3
35,1,2,2,1,4,6
35,1,3,1,4,4,1
35,2,1,4,5,4,3
35,2,2,3,6,1,7
35,2,3,1,7,4,1
35,3,1,4,3,5,4
35,3,2,3,3,6,5
35,3,3,1,4,7,1
35,4,1,3,2,2,4
35,4,2,2,2,3,5
35,4,3,1,4,4,1
35,5,1,3,1,3,8
35,5,2,2,4,2,2
35,5,3,1,4,4,1
35,6,1,3,7,1,8
35,6,2,4,5,4,2
35,6,3,1,7,4,1
36,1,1,4,4,4,4
36,1,2,3,7,1,6
36,1,3,1,7,4,1
36,2,1,2,4,5,2
36,2,2,3,1,7,8
36,2,3,1,4,7,1
36,3,1,2,4,7,6
36,3,2,4,7,4,4
36,3,3,1,7,7,1
36,4,1,3,1,7,3
36,4,2,2,3,4,7
36,4,3,1,4,7,1
36,5,1,3,2,7,2
36,5,2,2,4,4,8
36,5,3,1,4,7,1
36,6,1,2,3,3,3
36,6,2,4,3,3,7
36,6,3,1,4,4,1
37,1,1,3,5,7,6
37,1,2,2,6,5,4
37,1,3,1,7,7,1
37,2,1,2,2,7,2
37,2,2,4,4,4,8
37,2,3,1,4,7,1
37,3,1,3,2,4,2
37,3,2,4,3,1,8
37,3,3,1,4,4,1
37,4,1,3,6,1,8
37,4,2,4,5,4,2
37,4,3,1,7,4,1
37,5,1,3,2,6,5
37,5,2,4,2,5,5
37,5,3,1,4,7,1
37,6,1,3,6,5,8
37,6,2,4,6,6,2
37,6,3,1,7,7,1
38,1,1,2,7,1,6
38,1,2,4,4,4,4
38,1,3,1,7,4,1
38,2,1,2,3,5,4
38,2,2,3,1,6,6
38,2,3,1,4,7,1
38,3,1,2,4,7,7
38,3,2,3,7,5,3
38,3,3,1,7,7,1
38,4,1,3,3,5,7
38,4,2,2,2,6,3
38,4,3,1,4,7,1
38,5,1,2,1,3,7
38,5,2,4,4,1,3
38,5,3,1,4,4,1
38,6,1,2,3,4,5
38,6,2,4,2,6,5
38,6,3,1,4,7,1
39,1,1,3,4,5,2
39,1,2,2,1,6,8
39,1,3,1,4,7,1
39,2,1,4,3,1,7
39,2,2,3,1,4,3
39,2,3,1,4,4,1
39,3,1,4,4,4,6
39,3,2,3,7,1,3
39,3,3,1,7,4,1
39,4,1,2,7,1,8
39,4,2,4,5,4,2
39,4,3,1,7,4,1
39,5,1,4,2,2,4
39,5,2,3,3,2,5
39,5,3,1,4,4,1
39,6,1,4,5,6,4
39,6,2,2,7,5,6
39,6,3,1,7,7,1
40,1,1,4,7,4,2
40,1,2,2,4,6,7
40,1,3,1,7,7,1
40,2,1,4,7,1,6
40,2,2,3,4,4,3
40,2,3,1,7,4,1
40,3,1,4,1,7,4
40,3,2,2,4,4,6
40,3,3,1,4,7,1
40,4,1,3,4,7,6
40,4,2,2,7,4,4
40,4,3,1,7,7,1
40,5,1,3,4,6,5
40,5,2,4,6,5,5
40,5,3,1,7,7,1
40,6,1,2,7,5,2
40,6,2,3,4,6,8
40,6,3,1,7,7,1
41,1,1,2,5,7,3
41,1,2,4,7,4,8
41,1,3,1,7,7,1
41,2,1,4,4,3,5
41,2,2,2,6,2,5
41,2,3,1,7,4,1
41,3,1,4,4,6,8
41,3,2,3,7,5,2
41,3,3,1,7,7,1
41,4,1,3,4,4,2
41,4,2,2,1,6,7
41,4,3,1,4,7,1
41,5,1,2,5,4,3
41,5,2,3,6,1,7
41,5,3,1,7,4,1
41,6,1,2,2,3,5
41,6,2,4,2,2,4
41,6,3,1,4,4,1
42,1,1,3,3,1,8
42,1,2,2,2,4,2
42,1,3,1,4,4,1
42,2,1,2,2,2,7
42,2,2,3,3,3,3
42,2,3,1,4,4,1
42,3,1,3,3,5,5
42,3,2,4,1,6,5
42,3,3,1,4,7,1
42,4,1,4,1,7,8
42,4,2,3,4,5,2
42,4,3,1,4,7,1
42,5,1,4,7,2,2
42,5,2,2,4,3,8
42,5,3,1,7,4,1
42,6,1,2,6,6,3
42,6,2,4,5,5,7
42,6,3,1,7,7,1
43,1,1,4,4,1,3
43,1,2,3,1,4,6
43,1,3,1,4,4,1
43,2,1,4,4,3,7
43,2,2,2,7,1,2
43,2,3,1,7,4,1
43,3,1,3,4,6,5
43,3,2,4,6,5,4
43,3,3,1,7,7,1
43,4,1,4,7,1,6
43,4,2,3,4,4,4
43,4,3,1,7,4,1
43,5,1,2,6,2,4
43,5,2,4,5,4,6
43,5,3,1,7,4,1
43,6,1,3,4,2,3
43,6,2,2,2,2,7
43,6,3,1,4,4,1
44,1,1,2,3,2,4
44,1,2,3,2,4,6
44,1,3,1,4,4,1
44,2,1,4,5,6,7
44,2,2,2,6,5,3
44,2,3,1,7,7,1
44,3,1,2,5,6,5
44,3,2,3,6,4,5
44,3,3,1,7,7,1
44,4,1,2,6,1,7
44,4,2,4,5,4,3
44,4,3,1,7,4,1
44,5,1,4,6,3,5
44,5,2,3,5,3,4
44,5,3,1,7,4,1
44,6,1,4,4,1,6
44,6,2,2,1,4,4
44,6,3,1,4,4,1
45,1,1,3,4,4,3
45,1,2,2,1,7,6
45,1,3,1,4,7,1
45,2,1,4,2,7,3
45,2,2,3,3,4,7
45,2,3,1,4,7,1
45,3,1,4,3,2,4
45,3,2,3,3,3,5
45,3,3,1,4,4,1
45,4,1,3,5,5,4
45,4,2,2,5,6,5
45,4,3,1,7,7,1
45,5,1,3,4,6,8
45,5,2,2,7,5,2
45,5,3,1,7,7,1
45,6,1,3,4,4,8
45,6,2,4,2,7,2
45,6,3,1,4,7,1
46,1,1,4,1,4,4
46,1,2,3,4,1,6
46,1,3,1,4,4,1
46,2,1,2,4,5,2
46,2,2,3,1,7,8
46,2,3,1,4,7,1
46,3,1,2,4,4,6
46,3,2,4,7,1,4
46,3,3,1,7,4,1
46,4,1,3,1,7,3
46,4,2,2,3,4,7
46,4,3,1,4,7,1
46,5,1,3,2,7,2
46,5,2,2,4,4,8
46,5,3,1,4,7,1
46,6,1,2,6,3,3
46,6,2,4,6,3,7
46,6,3,1,7,4,1
47,1,1,3,5,4,6
47,1,2,2,6,2,4
47,1,3,1,7,4,1
47,2,1,2,2,4,2
47,2,2,4,4,1,8
47,2,3,1,4,4,1
47,3,1,3,5,4,2
47,3,2,4,6,1,8
47,3,3,1,7,4,1
47,4,1,3,3,1,8
47,4,2,4,2,4,2
47,4,3,1,4,4,1
47,5,1,3,2,6,5
47,5,2,4,2,5,5
47,5,3,1,4,7,1
47,6,1,3,6,2,8
47,6,2,4,6,3,2
47,6,3,1,7,4,1
48,1,1,2,7,4,6
48,1,2,4,4,7,4
48,1,3,1,7,7,1
48,2,1,2,3,5,4
48,2,2,3,1,6,6
48,2,3,1,4,7,1
48,3,1,2,1,4,7
48,3,2,3,4,2,3
48,3,3,1,4,4,1
48,4,1,3,3,2,7
48,4,2,2,2,3,3
48,4,3,1,4,4,1
48,5,1,2,4,3,7
48,5,2,4,7,1,3
48,5,3,1,7,4,1
48,6,1,2,6,1,5
48,6,2,4,5,3,5
48,6,3,1,7,4,1
49,1,1,3,4,5,2
49,1,2,2,1,6,8
49,1,3,1,4,7,1
49,2,1,4,3,4,7
49,2,2,3,1,7,3
49,2,3,1,4,7,1
49,3,1,4,4,4,6
49,3,2,3,7,1,3
49,3,3,1,7,4,1
49,4,1,2,4,4,8
49,4,2,4,2,7,2
49,4,3,1,4,7,1
49,5,1,4,5,5,4
49,5,2,3,6,5,5
49,5,3,1,7,7,1
49,6,1,4,5,3,4
49,6,2,2,7,2,6
49,6,3,1,7,4,1
50,1,1,4,7,1,2
50,1,2,2,4,3,7
50,1,3,1,7,4,1
50,2,1,4,4,4,6
50,2,2,3,1,7,3
50,2,3,1,4,7,1
50,3,1,4,1,4,4
50,3,2,2,4,1,6
50,3,3,1,4,4,1
50,4,1,3,1,4,6
50,4,2,2,4,1,4
50,4,3,1,4,4,1
50,5,1,3,4,6,5
50,5,2,4,6,5,5
50,5,3,1,7,7,1
50,6,1,2,4,2,2
50,6,2,3,1,3,8
50,6,3,1,4,4,1
51,1,1,2,2,4,3
51,1,2,4,4,1,8
51,1,3,1,4,4,1
51,2,1,4,4,6,5
51,2,2,2,6,5,5
51,2,3,1,7,7,1
51,3,1,4,4,6,8
51,3,2,3,7,5,2
51,3,3,1,7,7,1
51,4,1,3,4,4,2
51,4,2,2,1,6,7
51,4,3,1,4,7,1
51,5,1,2,2,7,3
51,5,2,3,3,4,7
51,5,3,1,4,7,1
51,6,1,2,5,3,5
51,6,2,4,5,2,4
51,6,3,1,7,4,1
52,1,1,3,3,4,8
52,1,2,2,2,7,2
52,1,3,1,4,7,1
52,2,1,2,2,2,7
52,2,2,3,3,3,3
52,2,3,1,4,4,1
52,3,1,3,6,5,5
52,3,2,4,4,6,5
52,3,3,1,7,7,1
52,4,1,4,4,4,8
52,4,2,3,7,2,2
52,4,3,1,7,4,1
52,5,1,4,7,5,2
52,5,2,2,4,6,8
52,5,3,1,7,7,1
52,6,1,2,3,6,3
52,6,2,4,2,5,7
52,6,3,1,4,7,1
53,1,1,4,4,1,3
53,1,2,3,1,4,6
53,1,3,1,4,4,1
53,2,1,4,1,6,7
53,2,2,2,4,4,2
53,2,3,1,4,7,1
53,3,1,3,4,3,5
53,3,2,4,6,2,4
53,3,3,1,7,4,1
53,4,1,4,7,1,6
53,4,2,3,4,4,4
53,4,3,1,7,4,1
53,5,1,2,6,2,4
53,5,2,4,5,4,6
53,5,3,1,7,4,1
53,6,1,3,4,5,3
53,6,2,2,2,5,7
53,6,3,1,4,7,1
54,1,1,2,6,2,4
54,1,2,3,5,4,6
54,1,3,1,7,4,1
54,2,1,4,2,6,7
54,2,2,2,3,5,3
54,2,3,1,4,7,1
54,3,1,2,2,3,5
54,3,2,3,3,1,5
54,3,3,1,4,4,1
54,4,1,2,6,1,7
54,4,2,4,5,4,3
54,4,3,1,7,4,1
54,5,1,4,3,3,5
54,5,2,3,2,3,4
54,5,3,1,4,4,1
54,6,1,4,4,4,6
54,6,2,2,1,7,4
54,6,3,1,4,7,1
55,1,1,3,7,4,3
55,1,2,2,4,7,6
55,1,3,1,7,7,1
55,2,1,4,2,4,3
55,2,2,3,3,1,7
55,2,3,1,4,4,1
55,3,1,4,3,2,4
55,3,2,3,3,3,5
55,3,3,1,4,4,1
55,4,1,3,2,2,4
55,4,2,2,2,3,5
55,4,3,1,4,4,1
55,5,1,3,4,3,8
55,5,2,2,7,2,2
55,5,3,1,7,4,1
